list_name,layer,kind,seq,key,value
generic_word_blacklist,exclusion,set,0,,accessories
generic_word_blacklist,exclusion,set,1,,accessory
generic_word_blacklist,exclusion,set,2,,adapter
generic_word_blacklist,exclusion,set,3,,adaptors
generic_word_blacklist,exclusion,set,4,,advance
generic_word_blacklist,exclusion,set,5,,agent
generic_word_blacklist,exclusion,set,6,,alligator
generic_word_blacklist,exclusion,set,7,,alpha
generic_word_blacklist,exclusion,set,8,,apex
generic_word_blacklist,exclusion,set,9,,arch
generic_word_blacklist,exclusion,set,10,,arise
generic_word_blacklist,exclusion,set,11,,arterial
generic_word_blacklist,exclusion,set,12,,atlas
generic_word_blacklist,exclusion,set,13,,autosuture
generic_word_blacklist,exclusion,set,14,,balloon
generic_word_blacklist,exclusion,set,15,,barb
generic_word_blacklist,exclusion,set,16,,basic
generic_word_blacklist,exclusion,set,17,,beta
generic_word_blacklist,exclusion,set,18,,bipolar
generic_word_blacklist,exclusion,set,19,,black
generic_word_blacklist,exclusion,set,20,,blade
generic_word_blacklist,exclusion,set,21,,blue
generic_word_blacklist,exclusion,set,22,,burr
generic_word_blacklist,exclusion,set,23,,burrs
generic_word_blacklist,exclusion,set,24,,camera
generic_word_blacklist,exclusion,set,25,,cartridge
generic_word_blacklist,exclusion,set,26,,catheter
generic_word_blacklist,exclusion,set,27,,catheters
generic_word_blacklist,exclusion,set,28,,chrome
generic_word_blacklist,exclusion,set,29,,circuit
generic_word_blacklist,exclusion,set,30,,clamp
generic_word_blacklist,exclusion,set,31,,clamps
generic_word_blacklist,exclusion,set,32,,classic
generic_word_blacklist,exclusion,set,33,,clean
generic_word_blacklist,exclusion,set,34,,cleaner
generic_word_blacklist,exclusion,set,35,,clear
generic_word_blacklist,exclusion,set,36,,clip
generic_word_blacklist,exclusion,set,37,,clips
generic_word_blacklist,exclusion,set,38,,cobalt
generic_word_blacklist,exclusion,set,39,,combo
generic_word_blacklist,exclusion,set,40,,compact
generic_word_blacklist,exclusion,set,41,,consumables
generic_word_blacklist,exclusion,set,42,,core
generic_word_blacklist,exclusion,set,43,,curve
generic_word_blacklist,exclusion,set,44,,dark
generic_word_blacklist,exclusion,set,45,,dawn
generic_word_blacklist,exclusion,set,46,,deep
generic_word_blacklist,exclusion,set,47,,delta
generic_word_blacklist,exclusion,set,48,,doro
generic_word_blacklist,exclusion,set,49,,drill
generic_word_blacklist,exclusion,set,50,,drill tool
generic_word_blacklist,exclusion,set,51,,dual
generic_word_blacklist,exclusion,set,52,,dynamic
generic_word_blacklist,exclusion,set,53,,easy
generic_word_blacklist,exclusion,set,54,,echo
generic_word_blacklist,exclusion,set,55,,edge
generic_word_blacklist,exclusion,set,56,,electrode
generic_word_blacklist,exclusion,set,57,,electrodes
generic_word_blacklist,exclusion,set,58,,engine
generic_word_blacklist,exclusion,set,59,,export
generic_word_blacklist,exclusion,set,60,,extension
generic_word_blacklist,exclusion,set,61,,falcon
generic_word_blacklist,exclusion,set,62,,fast
generic_word_blacklist,exclusion,set,63,,filter
generic_word_blacklist,exclusion,set,64,,filters
generic_word_blacklist,exclusion,set,65,,flat
generic_word_blacklist,exclusion,set,66,,flex
generic_word_blacklist,exclusion,set,67,,force
generic_word_blacklist,exclusion,set,68,,forcep
generic_word_blacklist,exclusion,set,69,,forceps
generic_word_blacklist,exclusion,set,70,,free
generic_word_blacklist,exclusion,set,71,,freedom
generic_word_blacklist,exclusion,set,72,,full
generic_word_blacklist,exclusion,set,73,,gamma
generic_word_blacklist,exclusion,set,74,,generator
generic_word_blacklist,exclusion,set,75,,gold
generic_word_blacklist,exclusion,set,76,,green
generic_word_blacklist,exclusion,set,77,,guide
generic_word_blacklist,exclusion,set,78,,guides
generic_word_blacklist,exclusion,set,79,,hard
generic_word_blacklist,exclusion,set,80,,helix
generic_word_blacklist,exclusion,set,81,,hero
generic_word_blacklist,exclusion,set,82,,high
generic_word_blacklist,exclusion,set,83,,hook
generic_word_blacklist,exclusion,set,84,,iris
generic_word_blacklist,exclusion,set,85,,kick
generic_word_blacklist,exclusion,set,86,,legend
generic_word_blacklist,exclusion,set,87,,liberty
generic_word_blacklist,exclusion,set,88,,light
generic_word_blacklist,exclusion,set,89,,line
generic_word_blacklist,exclusion,set,90,,linear
generic_word_blacklist,exclusion,set,91,,liquid
generic_word_blacklist,exclusion,set,92,,long
generic_word_blacklist,exclusion,set,93,,low
generic_word_blacklist,exclusion,set,94,,marker
generic_word_blacklist,exclusion,set,95,,markers
generic_word_blacklist,exclusion,set,96,,mass
