map_name,key,value,provider,notes
category_qualifier_map,coronary stent,Drug Eluting Stents,internal,
category_qualifier_map,artery stent,Drug Eluting Stents,internal,
category_qualifier_map,drug eluting stent,Drug Eluting Stents,internal,
category_qualifier_map,ureteral stent,Ureteral Stents,internal,
category_qualifier_map,biliary stent,Biliary Stents,internal,
category_qualifier_map,carotid stent,Carotid Stents,internal,
category_qualifier_map,stent graft,Thoracic Stent Graft,internal,
category_qualifier_map,ptca balloon,PTCA Balloons,internal,
category_qualifier_map,ureteral balloon,Ureteral Balloons,internal,
category_qualifier_map,guide wire,Guidewires,internal,
category_qualifier_map,guidewire,Guidewires,internal,
category_qualifier_map,diagnostic catheter,Diagnostic Catheter,internal,
category_qualifier_map,guiding catheter,Guiding Catheters,internal,
category_qualifier_map,ablation catheter,Ablation Catheter,internal,
category_qualifier_map,ureteral catheter,Ureteral Catheters,internal,
category_qualifier_map,intramedullary nail,Intramedullary Nails,internal,
category_qualifier_map,mechanical heart valve,Mechanical Heart Valves,internal,
category_qualifier_map,locking plate,Plate,internal,
category_qualifier_map,locked plate,Plate,internal,
category_qualifier_map,bone plate,Plate,internal,
category_qualifier_map,compression plate,Plate,internal,
category_qualifier_map,absorbable suture,Conventional Suture - Absorbable,internal,
category_qualifier_map,non absorbable suture,Conventional Suture - Non-Absorbable,internal,
category_qualifier_map,surgical suture,Conventional Suture - Non-Absorbable,internal,
category_qualifier_map,hernia mesh,Synthetic Mesh,internal,
category_qualifier_map,surgical mesh,Synthetic Mesh,internal,
category_qualifier_map,arterial cannula,Cannulae_Arterial,internal,
category_qualifier_map,aortic cannula,Cannulae_Arterial,internal,
category_qualifier_map,venous cannula,Cannulae_Venous,internal,
category_qualifier_map,femoral cannula,Cannulae_Femoral,internal,
category_qualifier_map,cortical screw,Plates & Screws,internal,
category_qualifier_map,cancellous screw,Plates & Screws,internal,
category_qualifier_map,orthopedic screw,Plates & Screws,internal,
category_qualifier_map,orthopaedic screw,Plates & Screws,internal,
category_qualifier_map,bone screw,Plates & Screws,internal,
category_qualifier_map,cannulated screw,Cannulated Screws,internal,
category_qualifier_map,pedicle screw,Spinal Fusion Fixation - Thoracolumbar,internal,
category_qualifier_map,multiaxial screw,Spinal Fusion Fixation - Thoracolumbar,internal,
category_qualifier_map,polyaxial screw,Spinal Fusion Fixation - Thoracolumbar,internal,
category_qualifier_map,monoaxial screw,Spinal Fusion Fixation - Thoracolumbar,internal,
manufacturer_aliases,Medtronic,medtronic,internal,
manufacturer_aliases,Medtronic,covidien,internal,
manufacturer_aliases,B. Braun,b braun,internal,
manufacturer_aliases,B. Braun,aesculap,internal,
manufacturer_aliases,J&J,johnson johnson,internal,
manufacturer_aliases,J&J,depuy,internal,
manufacturer_aliases,J&J,ethicon,internal,
manufacturer_aliases,Boston Scientific,boston scientific,internal,
manufacturer_aliases,Abbott,abbott,internal,
manufacturer_aliases,Terumo,terumo,internal,
manufacturer_aliases,Olympus,olympus,internal,
manufacturer_aliases,Karl Storz,karl storz,internal,
manufacturer_aliases,Stryker,stryker,internal,
manufacturer_aliases,Smith & Nephew,smith nephew,internal,
manufacturer_aliases,Zimmer Biomet,zimmer biomet,internal,
manufacturer_aliases,Zimmer Biomet,zimmer,internal,
manufacturer_aliases,Zimmer Biomet,biomet,internal,
manufacturer_aliases,Biotronik,biotronik,internal,
manufacturer_aliases,Penumbra,penumbra,internal,
manufacturer_aliases,Asahi Intecc,asahi intecc,internal,
manufacturer_aliases,Teleflex,teleflex,internal,
manufacturer_aliases,MicroPort,microport,internal,
manufacturer_aliases,Meril,meril,internal,
manufacturer_aliases,Cordis,cordis,internal,
manufacturer_aliases,Getinge,getinge,internal,
manufacturer_aliases,Nipro,nipro,internal,
manufacturer_aliases,Nuvasive,nuvasive,internal,
manufacturer_aliases,Mani,mani inc,internal,
manufacturer_aliases,Mani,mani hanoi,internal,
manufacturer_aliases,Mindray,mindray,internal,
manufacturer_aliases,Canwell Medical,canwell,internal,
manufacturer_aliases,Medikit,medikit,internal,
manufacturer_aliases,Cook Medical,cook medical,internal,
manufacturer_aliases,Richard Wolf,richard wolf,internal,
manufacturer_aliases,BD,becton dickinson,internal,
manufacturer_aliases,BD,bard,internal,
manufacturer_aliases,Merit Medical,merit medical,internal,
manufacturer_aliases,Gore Medical,w l gore,internal,
manufacturer_aliases,Gore Medical,gore associates,internal,
